20191029_construction_row_51,X000688,COMPLETED,East Melbourne,126-158 Clarendon Street EAST MELBOURNE VIC 3002,5,0,-37.812282,144.9841024
20191029_construction_row_52,X000689,COMPLETED,East Melbourne,126-158 Clarendon Street EAST MELBOURNE VIC 3002,11,0,-37.812282,144.9841024
20191029_construction_row_53,X000507,COMPLETED,North Melbourne,2-14 Cobden Street NORTH MELBOURNE VIC 3051,4,0,-37.80552735,144.9574951
20191029_construction_row_54,X000436,COMPLETED,Parkville,Queen's College 1-17 College Crescent PARKVILLE VIC 3052,4,0,-37.79341349,144.9631654
20191029_construction_row_55,X000437,COMPLETED,Parkville,St Hilda's College 19-27 College Crescent PARKVILLE VIC 3052,5,0,-37.79262915,144.9625605
20191029_construction_row_56,X000438,COMPLETED,Parkville,Ormond College 29-55 College Crescent PARKVILLE VIC 3052,3,0,-37.7930669,144.9605351
20191029_construction_row_57,X000439,COMPLETED,Parkville,Ormond College 29-55 College Crescent PARKVILLE VIC 3052,3,0,-37.7930669,144.9605351
20191029_construction_row_58,X000440,COMPLETED,Parkville,Trinity College 100 Royal Parade PARKVILLE VIC 3052,4,0,-37.79514063,144.9594147
20191029_construction_row_59,X000060,COMPLETED,Melbourne (CBD),167-173 Collins Street MELBOURNE VIC 3000,19,136,-37.81566141,144.9683148
20191029_construction_row_60,X000057,COMPLETED,Melbourne (CBD),241-245 Collins Street MELBOURNE VIC 3000,5,0,-37.81606227,144.9658297
20191029_construction_row_61,X000058,COMPLETED,Melbourne (CBD),271-285 Collins Street MELBOURNE VIC 3000,11,0,-37.81654626,144.9649787
20191029_construction_row_62,X000059,COMPLETED,Melbourne (CBD),287-301 Collins Street MELBOURNE VIC 3000,9,0,-37.81642214,144.9644915
20191029_construction_row_63,X000055,COMPLETED,Melbourne (CBD),351-357 Collins Street MELBOURNE VIC 3000,22,40,-37.8172905,144.9627882
20191029_construction_row_64,X000070,COMPLETED,Melbourne (CBD),Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000,28,0,-37.81867521,144.9543508
20191029_construction_row_65,X000068,COMPLETED,Melbourne (CBD),568-580 Collins Street MELBOURNE VIC 3000,67,266,-37.81836589,144.9554242
20191029_construction_row_66,X000067,COMPLETED,Melbourne (CBD),McPherson's Building 546-566 Collins Street MELBOURNE VIC 3000,4,0,-37.81824449,144.9558442
20191029_construction_row_67,X000073,COMPLETED,Melbourne (CBD),480-490 Collins Street MELBOURNE VIC 3000,21,0,-37.81764139,144.9579658
20191029_construction_row_68,X000076,COMPLETED,Melbourne (CBD),454-456 Collins Street MELBOURNE VIC 3000,11,0,-37.81734734,144.9592317
20191029_construction_row_69,X000074,COMPLETED,Melbourne (CBD),400-402 Collins Street MELBOURNE VIC 3000,7,0,-37.8168249,144.9609385
20191029_construction_row_70,X000083,COMPLETED,Melbourne (CBD),258-274 Collins Street MELBOURNE VIC 3000,13,0,-37.81537999,144.9648904
20191029_construction_row_71,X001141,COMPLETED,West Melbourne (Industrial),25 Enterprize Road WEST MELBOURNE VIC 3003,2,0,-37.81616148,144.9293874
20191029_construction_row_72,X000116,COMPLETED,Melbourne (CBD),20-26 Coromandel Place MELBOURNE VIC 3000,16,0,-37.81302783,144.9692548
20191029_construction_row_73,X000516,COMPLETED,North Melbourne,La Trobe Close 13-39 Courtney Street NORTH MELBOURNE VIC 3051,7,117,-37.8022174,144.9535114
20191029_construction_row_74,X000488,COMPLETED,North Melbourne,90-98 Curzon Street NORTH MELBOURNE VIC 3051,3,0,-37.80180468,144.9486062
20191029_construction_row_75,X000667,COMPLETED,Kensington,56-68 Derby Street KENSINGTON VIC 3031,6,0,-37.79757493,144.9274052
20191029_construction_row_76,X000946,COMPLETED,South Yarra,143-151 Domain Road SOUTH YARRA VIC 3141,3,0,-37.83420325,144.9810994
20191029_construction_row_77,X000355,COMPLETED,Carlton,Rosso Apartments 262-276 Drummond Street CARLTON VIC 3053,4,0,-37.79976069,144.9688791
20191029_construction_row_78,X000611,COMPLETED,West Melbourne (Residential),100-154 Batman Street WEST MELBOURNE VIC 3003,3,0,-37.81101185,144.9489427
20191029_construction_row_79,X000604,COMPLETED,West Melbourne (Residential),104-128 Dudley Street WEST MELBOURNE VIC 3003,10,0,-37.8092538,144.9512713
20191029_construction_row_80,X000603,COMPLETED,West Melbourne (Residential),52-54 Dudley Street WEST MELBOURNE VIC 3003,5,1,-37.80866622,144.9534802
20191029_construction_row_81,X000624,COMPLETED,West Melbourne (Industrial),442-452 Dynon Road WEST MELBOURNE VIC 3003,2,0,-37.80083691,144.9130748
20191029_construction_row_82,X000999,COMPLETED,West Melbourne (Industrial),142-150 Dynon Road WEST MELBOURNE VIC 3003,2,0,-37.80291641,144.930412
20191029_construction_row_83,X000643,COMPLETED,Kensington,457-469 Macaulay Road KENSINGTON VIC 3031,4,0,-37.79485049,144.9315297
20191029_construction_row_84,X000341,COMPLETED,Carlton,230-232 Elgin Street CARLTON VIC 3053,3,0,-37.79681346,144.9665749
20191029_construction_row_85,X000340,COMPLETED,Carlton,216-228 Elgin Street CARLTON VIC 3053,3,0,-37.79673722,144.9668804
20191029_construction_row_86,X000350,COMPLETED,Carlton,168-174 Elgin Street CARLTON VIC 3053,4,0,-37.79708912,144.9687787
20191029_construction_row_87,X000351,COMPLETED,Carlton,138-144 Elgin Street CARLTON VIC 3053,3,0,-37.7971508,144.9698102
20191029_construction_row_88,X000079,COMPLETED,Melbourne (CBD),97-103 Elizabeth Street MELBOURNE VIC 3000,8,0,-37.81591904,144.9634959
20191029_construction_row_89,X000253,COMPLETED,Melbourne (CBD),284-294 La Trobe Street MELBOURNE VIC 3000,9,0,-37.81001419,144.9608496
20191029_construction_row_90,X000257,COMPLETED,Melbourne (CBD),399-411 Elizabeth Street MELBOURNE VIC 3000,5,0,-37.80955762,144.9606404
20191029_construction_row_91,X000294,COMPLETED,Melbourne (CBD),453-459 Elizabeth Street MELBOURNE VIC 3000,12,0,-37.80845865,144.960166
20191029_construction_row_92,X000511,COMPLETED,North Melbourne,587-589 Elizabeth Street MELBOURNE VIC 3000,10,0,-37.80460726,144.9581241
20191029_construction_row_93,X000512,COMPLETED,North Melbourne,591-593 Elizabeth Street MELBOURNE VIC 3000,7,0,-37.80452349,144.9580838
20191029_construction_row_94,X000958,COMPLETED,Parkville,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,15,0,-37.80019271,144.9566698
20191029_construction_row_95,X000364,COMPLETED,Carlton,786-798 Elizabeth Street MELBOURNE VIC 3000,10,0,-37.80007242,144.9582638
20191029_construction_row_96,X000401,COMPLETED,Carlton,660-674 Elizabeth Street MELBOURNE VIC 3000,10,0,-37.80279165,144.9584959
20191029_construction_row_97,X000400,COMPLETED,Carlton,Elan Apartments 634-640 Elizabeth Street MELBOURNE VIC 3000,11,0,-37.80338509,144.9587732
20191029_construction_row_98,X000405,COMPLETED,Carlton,536-542 Elizabeth Street MELBOURNE VIC 3000,3,0,-37.80545065,144.9596983
20191029_construction_row_99,X000295,COMPLETED,Melbourne (CBD),410-420 Elizabeth Street MELBOURNE VIC 3000,55,137,-37.80894871,144.961157
20191029_construction_row_100,X000161,COMPLETED,Melbourne (CBD),222-260 Elizabeth Street MELBOURNE VIC 3000,21,0,-37.81270208,144.9628825
20191029_construction_row_101,X000020,COMPLETED,Melbourne (CBD),River View House 274-282 Flinders Street MELBOURNE VIC 3000,4,0,-37.81765999,144.9650858
20191029_construction_row_102,X000556,COMPLETED,North Melbourne,North Melbourne Primary School 200-214 Errol Street NORTH MELBOURNE VIC 3051,2,0,-37.79832324,144.9515714
20191029_construction_row_103,X000525,COMPLETED,North Melbourne,130-140 Errol Street NORTH MELBOURNE VIC 3051,5,34,-37.80183594,144.9501887
20191029_construction_row_104,X000029,COMPLETED,Melbourne (CBD),11-37 Exhibition Street MELBOURNE VIC 3000,17,0,-37.81546126,144.9717264
20191029_construction_row_105,X000111,COMPLETED,Melbourne (CBD),113-149 Exhibition Street MELBOURNE VIC 3000,22,0,-37.81281423,144.9701094
20191029_construction_row_106,X000112,COMPLETED,Melbourne (CBD),113-149 Exhibition Street MELBOURNE VIC 3000,40,0,-37.81281423,144.9701094
20191029_construction_row_107,X000118,COMPLETED,Melbourne (CBD),136-144 Exhibition Street MELBOURNE VIC 3000,2,0,-37.81240242,144.9711072
20191029_construction_row_108,X000092,COMPLETED,Melbourne (CBD),96-102 Exhibition Street MELBOURNE VIC 3000,10,0,-37.81330117,144.9714494
20191029_construction_row_109,X000235,COMPLETED,Melbourne (CBD),Fraser Place Melbourne 17-19 Exploration Lane MELBOURNE VIC 3000,14,0,-37.80895367,144.9680775
20191029_construction_row_110,X000533,COMPLETED,North Melbourne,RMIT Village 5-17 Flemington Road NORTH MELBOURNE VIC 3051,6,0,-37.80142395,144.955841
20191029_construction_row_111,X000544,COMPLETED,North Melbourne,47-59 Flemington Road NORTH MELBOURNE VIC 3051,1,0,-37.79972957,144.9543181
20191029_construction_row_112,X000550,COMPLETED,North Melbourne,Unilodge on Villiers Apartments 51-63 Villiers Street NORTH MELBOURNE VIC 3051,10,2,-37.7989505,144.9533473
20191029_construction_row_113,X000555,COMPLETED,North Melbourne,George Apartments 97-103 Flemington Road NORTH MELBOURNE VIC 3051,8,0,-37.79844294,144.9527049
20191029_construction_row_114,X000988,COMPLETED,Parkville,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,5,860,-37.79361764,144.9495408
20191029_construction_row_115,X000989,COMPLETED,Parkville,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,8,0,-37.79361764,144.9495408
20191029_construction_row_116,X000022,COMPLETED,Melbourne (CBD),167-173 Flinders Lane MELBOURNE VIC 3000,2,0,-37.81614284,144.9688284
