20191029_bar_row_119,Dan O'Connell Hotel,2002,223-227 Canning Street,Carlton,600,-37.79303229,144.9733817
20191029_bar_row_120,The Exchange Hotel,2006,120-138 King Street,Melbourne (CBD),1240,-37.81703156,144.9564078
20191029_bar_row_121,North Melbourne Football Club Social Club,2002,204-206 Arden Street,North Melbourne,210,-37.79905531,144.9413118
20191029_bar_row_122,Kanga Kasino,2002,204-206 Arden Street,North Melbourne,90,-37.79905531,144.9413118
20191029_bar_row_123,Lagers On Lygon,2002,66-88 Lygon Street,Carlton,80,-37.80530329,144.9665747
20191029_bar_row_124,Holiday Inn Melbourne,2002,1-5 Spencer Street,Docklands,130,-37.8226581,144.9549939
20191029_bar_row_125,Spotless Services,2002,Brunton Avenue,East Melbourne,2545,-37.81992883,144.9832828
20191029_bar_row_126,Loco Bar,2008,85-161 Spencer Street,Docklands,400,-37.81815358,144.9523393
20191029_bar_row_127,Alumbra At Central Pier,2008,143-175 Harbour Esplanade,Docklands,690,-37.8165193,144.9435654
20191029_bar_row_128,Tabaret At Melbourne Central,2002,315-321 Elizabeth Street,Melbourne (CBD),250,-37.81124935,144.9614724
20191029_bar_row_129,La La Land,2002,391-393 Little Lonsdale Street,Melbourne (CBD),175,-37.81187439,144.9603411
20191029_bar_row_130,Elm's Family Hotel,2002,267-271 Spring Street,Melbourne (CBD),200,-37.8086111,144.9714481
20191029_bar_row_132,The Oasis Oz Hotel,2011,175-191 Dryburgh Street,North Melbourne,390,-37.80205261,144.9433563
20191029_bar_row_134,RMIT Village Old Melbourne,2006,5-17 Flemington Road,North Melbourne,356,-37.80140031,144.9558713
20191029_bar_row_136,Bull And Bear Tavern,2006,341-347 Flinders Lane,Melbourne (CBD),180,-37.81782313,144.9630313
20191029_bar_row_138,Pugg Mahones,2006,171-175 Elgin Street,Carlton,500,-37.79750574,144.9687079
20191029_bar_row_139,Long Room,2008,162-168 Collins Street,Melbourne (CBD),620,-37.81450301,144.9678476
20191029_bar_row_140,Mai Tai Restaurant,2006,226-236 Russell Street,Melbourne (CBD),170,-37.81098272,144.9676444
20191029_bar_row_147,Kivotos Cafe Bar,2002,312-318 Russell Street,Melbourne (CBD),250,-37.80932575,144.9668166
20191029_bar_row_148,Hi Fi Bar & Ballroom,2002,125-133 Swanston Street,Melbourne (CBD),800,-37.81472467,144.9658102
20191029_bar_row_149,Gin Palace,2002,188-194 Little Collins Street,Melbourne (CBD),150,-37.81390779,144.9675807
20191029_bar_row_151,Velour,2002,121-123 Flinders Lane,Melbourne (CBD),350,-37.81567009,144.9705132
20191029_bar_row_152,Troika Bar,2002,106 Little Lonsdale Street,Melbourne (CBD),60,-37.8091536,144.96859
20191029_bar_row_153,The Oxford Scholar Hotel,2002,427-433 Swanston Street,Melbourne (CBD),486,-37.80846658,144.962901
20191029_bar_row_154,Shanghai Club,2002,242-244 Little Bourke Street,Melbourne (CBD),209,-37.81213633,144.965603
20191029_bar_row_155,Enka Karaoke Bar,2002,213-217 Russell Street,Melbourne (CBD),80,-37.81156167,144.9672365
20191029_bar_row_156,Hollywood Karaoke Bar,2002,184-186 Bourke Street,Melbourne (CBD),150,-37.81267583,144.9676888
20191029_bar_row_157,The Sherlock Holmes Inn,2002,415-417 Collins Street,Melbourne (CBD),70,-37.81746814,144.9608681
20191029_bar_row_158,The Sen Bar,2002,231-233 Exhibition Street,Melbourne (CBD),120,-37.81051104,144.9695206
20191029_bar_row_159,Holiday Inn On Flinders Melbourne,2002,24-40 Spencer Street,Melbourne (CBD),100,-37.82020482,144.9551524
20191029_bar_row_160,The Kitchen Restaurant,2002,435-443 Little Collins Street,Melbourne (CBD),200,-37.81638558,144.9600859
20191029_bar_row_166,Australia On Collins Bar,2002,258-274 Collins Street,Melbourne (CBD),11,-37.81536587,144.9648999
20191029_bar_row_167,Grosvenor Tavern,2002,353 Little Collins Street,Melbourne (CBD),230,-37.81594942,144.9631329
20191029_bar_row_169,The Carlton Hotel,2002,193-199 Bourke Street,Melbourne (CBD),200,-37.81320485,144.9676452
20191029_bar_row_171,Melbourne International Backpackers,2002,442-450 Elizabeth Street,Melbourne (CBD),365,-37.8083077,144.9608588
20191029_bar_row_172,Basement 407,2002,407-409 Swanston Street,Melbourne (CBD),150,-37.80895593,144.9631797
20191029_bar_row_176,Connells Tavern,2002,31-39 Elizabeth Street,Melbourne (CBD),350,-37.81741878,144.9643316
20191029_bar_row_177,Hosies Tavern,2002,1-5 Elizabeth Street,Melbourne (CBD),270,-37.81805666,144.964608
20191029_bar_row_179,Embassy Bar,2002,2-20 Drewery Place,Melbourne (CBD),303,-37.81130304,144.9639703
20191029_bar_row_180,Metropolitan On William Bar & Restaurant,2002,263-267 William Street,Melbourne (CBD),300,-37.81292397,144.9565837
20191029_bar_row_182,Golden Age Hotel,2002,277-287 King Street,Melbourne (CBD),200,-37.81367535,144.9541999
20191029_bar_row_193,Cheers Bar & Grill,2002,19-25 Little Bourke Street,Melbourne (CBD),350,-37.81074304,144.9719903
20191029_bar_row_195,Jagulla,2002,244-246 Russell Street,Melbourne (CBD),200,-37.81047422,144.9673261
20191029_bar_row_199,Mercat Cross Hotel,2002,143-151 Therry Street,Melbourne (CBD),230,-37.80792152,144.9583711
20191029_bar_row_200,Sister Bellas,2011,22 Drewery Place,Melbourne (CBD),80,-37.81135,144.9638158
20191029_bar_row_201,44 Bar,2002,42-44 Lonsdale Street,Melbourne (CBD),260,-37.80912054,144.971034
20191029_bar_row_202,Rydges Melbourne Hotel,2006,174-192 Exhibition Street,Melbourne (CBD),100,-37.81121462,144.9706454
